"startDateTime","endDateTime","VSWCMean","VSWCMinimum","VSWCMaximum","VSWCVariance","VSWCNumPts","VSWCExpUncert","VSWCStdErMean","VSWCRangeFailQM","VSWCRangePassQM","VSWCRangeNAQM","VSWCPersistenceFailQM","VSWCPersistencePassQM","VSWCPersistenceNAQM","VSWCStepFailQM","VSWCStepPassQM","VSWCStepNAQM","VSWCNullFailQM","VSWCNullPassQM","VSWCNullNAQM","VSWCGapFailQM","VSWCGapPassQM","VSWCGapNAQM","VSWCSpikeFailQM","VSWCSpikePassQM","VSWCSpikeNAQM","VSWCValidCalFailQM","VSWCValidCalPassQM","VSWCValidCalNAQM","VSWCAlphaQM","VSWCBetaQM","VSWCFinalQF","VSWCFinalQFSciRvw","VSICMean","VSICMinimum","VSICMaximum","VSICVariance","VSICNumPts","VSICExpUncert","VSICStdErMean","VSICRangeFailQM","VSICRangePassQM","VSICRangeNAQM","VSICPersistenceFailQM","VSICPersistencePassQM","VSICPersistenceNAQM","VSICStepFailQM","VSICStepPassQM","VSICStepNAQM","VSICNullFailQM","VSICNullPassQM","VSICNullNAQM","VSICGapFailQM","VSICGapPassQM","VSICGapNAQM","VSICSpikeFailQM","VSICSpikePassQM","VSICSpikeNAQM","VSICValidCalFailQM","VSICValidCalPassQM","VSICValidCalNAQM","VSICAlphaQM","VSICBetaQM","VSICFinalQF","VSICFinalQFSciRvw","tempFailQM","tempPassQM","tempNAQM","calDefaultQM","calNEONQM","calNAQM"
"2018-05-01T00:00:00Z","2018-05-01T00:30:00Z",0.4145,0.4145,0.4147,0,148,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,18,82,0,NA,NA,NA,18,0,1,NA,1378.304,1375.333,1381.797,3.512,180,0.279,0.14,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0
"2018-05-01T00:30:00Z","2018-05-01T01:00:00Z",0.4145,0.4145,0.4146,0,167,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,7,93,0,NA,NA,NA,7,0,0,NA,1376.208,1375.333,1376.364,0.065,176,0.039,0.019,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,2,98,0,NA,NA,NA,2,0,0,NA,0,100,0,100,0,0
"2018-05-01T01:00:00Z","2018-05-01T01:30:00Z",0.4146,0.4146,0.4147,0,151,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,16,84,0,NA,NA,NA,16,0,1,NA,1376.144,1375.591,1376.88,0.077,180,0.041,0.021,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0
"2018-05-01T01:30:00Z","2018-05-01T02:00:00Z",0.4147,0.4146,0.4152,0,149,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,17,83,0,NA,NA,NA,17,0,1,NA,1375.884,1375.075,1376.622,0.2,180,0.067,0.033,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0
"2018-05-01T02:00:00Z","2018-05-01T02:30:00Z",0.4147,0.4145,0.4151,0,159,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,12,88,0,NA,NA,NA,12,0,1,NA,1375.517,1375.333,1376.106,0.022,172,0.023,0.011,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,4,96,0,NA,NA,NA,4,0,0,NA,0,100,0,100,0,0
"2018-05-01T02:30:00Z","2018-05-01T03:00:00Z",0.4146,0.4145,0.4152,0,156,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,13,87,0,NA,NA,NA,13,0,1,NA,1376.059,1375.333,1376.88,0.182,180,0.064,0.032,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0
"2018-05-01T03:00:00Z","2018-05-01T03:30:00Z",0.4147,0.4145,0.4154,0,172,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,4,96,0,NA,NA,NA,4,0,0,NA,1376.948,1376.364,1377.397,0.028,160,0.026,0.013,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,11,89,0,NA,NA,NA,11,0,1,NA,0,100,0,100,0,0
"2018-05-01T03:30:00Z","2018-05-01T04:00:00Z",0.4147,0.4145,0.4156,0,175,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,3,97,0,NA,NA,NA,3,0,0,NA,1376.89,1376.88,1377.139,0.002,132,0.009,0.004,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,27,73,0,NA,NA,NA,27,0,1,NA,0,100,0,100,0,0
"2018-05-01T04:00:00Z","2018-05-01T04:30:00Z",0.4145,0.4143,0.4149,0,142,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,21,79,0,NA,NA,NA,21,0,1,NA,1376.88,1376.88,1376.88,0,150,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,17,83,0,NA,NA,NA,17,0,1,NA,0,100,0,100,0,0
"2018-05-01T04:30:00Z","2018-05-01T05:00:00Z",0.4145,0.4143,0.4146,0,154,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,14,86,0,NA,NA,NA,14,0,1,NA,1376.852,1376.622,1376.88,0.007,153,0.013,0.007,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,15,85,0,NA,NA,NA,15,0,1,NA,0,100,0,100,0,0
